publication,author,date,unit_deny_reason,reason,"note_on_sourcing:_i_got_this_information_through_a_request_to_the_tdcj_public_information_office,_received_10/14/2022.",year,month,day,state_arc
WHO WANTS TO MARRY A BILLIONAIRE,"YAMAGUCHI, MIKOTO",2022-03-31,"PAGES 26, 27, 28 SEXUALLY EXPLICIT IMAGES","PAGES 30, 31, 32 & 33 CONTAIN SEXUALLY EXPLICIT IMAGES",,2022,3,31,tx
WHO WANTS TO MARRY A BILLIONAIRE 2,"YAMAGUCHI, MIKOTO",2022-09-14,"PAGES 22, 29, 41, 65-67 CONTAINS SEXUALLY EXPLICIT IMAGES","PAGES 22, 29, 41, 65 - 67 CONTAIN SEXUALLY EXPLICIT IMAGES",,2022,9,14,tx
WHO WANTS TO MARRY A BILLIONAIRE 3,"YAMAGUCHI, MIKOTO",2022-09-14,"PAGES 3, 5, 38 & 41 CONTAIN SEXUALLY EXPLICIT IMAGES","PAGES 3, 5, 38 & 41 CONTAIN SEXUALLY EXPLICIT IMAGES",,2022,9,14,tx
WHO WE WERE: A SNAPSHOT HISTORY OF AMERICA,"WILLIAMS, MICHAEL",2019-01-03,PGS 136 & 137 SEXUALLY EXPLICIT IMAGES,PGS 136 & 137 SEXUALLY EXPLICIT IMAGES,,2019,1,3,tx
WHO'S BEEN SLEEPING IN YOUR HEAD?,"KAHR, BRETT",2013-03-25,SEX WITH A MINOR ON PG 257,PAGE 257 SEX WITH A MINOR,,2013,3,25,tx
WHO'S LOVING YOU,"MORRISON, MARY",2008-09-24,PAGES: 38 & 39 RAPE,PGS 38 & 39 RAPE,,2008,9,24,tx
WHO'S WHO IN THE BIBLE,READER'S DIGEST,2014-08-20,"AGES 30,50,68 AND 160 CONTAIN IMAGES OF A NUDE CHILD.","PGS 30, 50, 68 & 160 NUDE CHILD",,2014,8,20,tx
WHO'S WHO SERIAL KILLERS THE TOP 100,"MALOCCO, DAVID",2016-06-17,PAGE 114 RAPE; PAGE 239 NECROPHILIA,PG 239 NEC,,2016,6,17,tx
"WHOLE LESBIAN SEX BOOK, THE","NEWMAN, FELICE",2017-02-24,"GS. 116,168,170,175,179,188,191,210, & 214 CONTAIN SEXUALLY EXPLICIT","PGS 116, 168, 170, 175, 179, 188, 191, 210 & 214 SEXUALLY EXPLICIT IMAGES",,2017,2,24,tx
WHORE,"LYNCH, TANIKA",2007-03-12,PAGE: 27 INC FTR/DTR (AGE PG 26),PG 27 INCEST (FTR/DTR),,2007,3,12,tx
"WHORE THE WIND BLEW MY WAY, THE","STYLES, T.",2017-05-19,PAGES 105-107 SEX W/MINOR,PGS 105-107 SEX W/MINOR,,2017,5,19,tx
WHORE YOU GET WHAT YOU PAY FOR,"SHAW, MATT",2020-07-01,PAGES III & IV (PRELUDE 3 & 4) INDECENCY WITH CHILD,PAGES III & IV (PRELUDE 3 & 4) INDECENCY WITH CHILD,,2020,7,1,tx
WHORES HARLOTS & WANTON WOMEN,"BROWN, PETRINA",2011-05-11,RONT COVER AND MIDDLE OF THE BOOK CONTAIN SEXUALLY EXPLICIT IMAGES,"FRONT COVER AND INSERT PAGES: 1, 3 & 9 SEI",,2011,5,11,tx
WHORES: AN ORAL BIOGRAPHY OF PERRY FARRELL AND JAN,"MULLEN, BRENDAN",2007-10-19,REASON F,"PGS 177, 199 & 241 SEXUALLY EXPLICIT IMAGES",,2007,10,19,tx
WHORESON,"GOINES, DONALD",2018-09-27,PAGES 203 AND 204 CONTAIN RAPE,PGS 203 & 204 RAPE,,2018,9,27,tx
WHY BLACK MEN LOVE WHITE WOMEN (H),"PERSAUD, RAJEN",2008-09-05,PAGE 198 CONTAINS SEX WITH MINORS,PG 198 SEX W/MINOR,,2008,9,5,tx
WHY BLACK MEN LOVE WHITE WOMEN (P),"PERSAUD, RAJEN",2008-01-03,PAGE: 201 SEX MNR,PG 201 SEX W/MINOR,,2008,1,3,tx
WHY DO ROLLER COASTERS MAKE YOU PUKE?,"THOMPSON, ANDREW",2020-06-29,"AGES 7 & 8 DETAILED DIRECTIONS ON HOW TO HOT WIRE A CAR, COULD FACILI TATE AN ESCAPE","PAGES 7 & 8 DETAILED DIRECTIONS ON HOW TO HOT WIRE A CAR, COULD BE USED TO FACILITATE AN ESCAPE",,2020,6,29,tx
WHY DO THEY KILL ME?,"KREIDER, TIM",2013-02-11,PGS 85 & 171 CONTAIL RACIAL INFORMATION,PAGE 145 SEXUALLY EXPLICIT IMAGE,,2013,2,11,tx
WHY IS THE PENIS SHAPED LIKE THAT?,"BERING, JESSE",2013-12-20,AGES 111-120 CONTAIN BESTIALITY,PAGE 116 CONTAINS BESTIALITY,,2013,12,20,tx
WHY ME & WHY HER?,"WILLIAMS, ALETA",2020-03-26,PAGES: 17-20 INCEST FATHER/DAUGHTER,PAGES: 19 & 20 INCEST FATHER/DAUGHTER,,2020,3,26,tx
WHY ME?,"WILLIAMS, ALETA",2020-03-26,AGES 13-16 INCEST FATHER/DAUGHTER,PAGES: 15 & 16 INCEST FATHER/DAUGHTER,,2020,3,26,tx
WHY THEY KILL,"RHODES, RICHARD",2001-02-13,"PAGES: 42, 72, 148 & 149 RAPE; 147 IND CHL","PGS 42, 72, 148 & 149 RAPE",,2001,2,13,tx
WHY?,"RHODES, D.A.",2016-07-13,"PGS 61, 77, 130 CHILD MOLESTATION","PGS 61, 77 & 130 RAPE OF MINOR",,2016,7,13,tx
WICCA A YEAR AND A DAY,"RODERICK, TIMOTHY",2005-10-31,"REASON F PAGE: 313, 318, & 322 SEX EXP IMG","PGS 313, 318 & 322 SEXUALLY EXPLICIT IMAGES",,2005,10,31,tx
"WICCA BIBLE, THE","GALLAGHER, ANN",2021-10-07,PAGE 125 NUDE CHILD,PAGE 125 CONTAINS THE IMAGE OF A NUDE CHILD,,2021,10,7,tx
"WICCA BOOK OF DAYS, THE","DUNWICH, GERINA",2015-09-21,"PAGES 117, AND 133 CONTAINS SEI",PGS 117 & 133 SEXUALLY EXPLICIT IMAGES,,2015,9,21,tx
"WICCA COOKBOOK: RECIPES, RITUAL, AND LORE","WOOD, JAMIE",2012-05-22,GS.70 & 71 CONTAINS DETAILED INFORMATION ON MANUFACTURING OF ALCOHOL,PG 71 MFG ALC,,2012,5,22,tx
WICCA PRACTICAS Y PRINCIPIOS DE LA BRUJERIA,"BUCKLAND, RAYMOND",2005-11-08,REASON F PAGE: 29 SEX EXP IMG;,PG 29 SEXUALLY EXPLICIT IMAGE,,2005,11,8,tx
"WICCAN MYSTERIES, THE","GRIMASSI, RAVEN",2018-07-24,PAGE 250 CONTAINS A SEXUALLY EXPLICIT IMAGE,PG 250 SEXUALLY EXPLICIT IMAGE,,2018,7,24,tx
"WICKED + THE DIVINE V3 COMMERCIAL SUICIDE, THE","MCKELVIE, GILLEN",2017-10-04,"PAGES 78, 79, 146, & 147 CONTAIN SEXUALLY EXPLICIT IMAGES","PGS 78, 79, 146 & 147 SEXUALLY EXPLCIIT IMAGES",,2017,10,4,tx
"WICKED + THE DIVINE V8, THE","GILLEN, KIERON",2019-07-11,PAGE 159 SEXUALLY EXPLICIT IMAGES,PG 159 SEXUALLY EXPLICIT IMAGE,,2019,7,11,tx
"WICKED CITY, THE","JOHNSON, CURT",2018-05-25,G.311 HOW TO MAKE ALCOHOL,PG 311 MFG ALC,,2018,5,25,tx
WICKED DREAMS,"GMUNDER, BRUNO",2014-01-09,NTIRE BOOK DENIED CONTAINS SEXUALLY EXPLICT IMAGES.,"PGS 3, 7 & 9 CONTAIN SEXUALLY EXPLICIT IMAGES",,2014,1,9,tx
WICKED KISSES,ARANTZA,2012-07-31,"GS 19,27,34,35,38,39,40 AND 45 CONTAIN SEXUALLY EXPLICIT IMAGES",,,2012,7,31,tx
"WICKED QUEEN, THE","THOMAS, CHANTAL",2020-06-26,AGES 104 & 136 SEXUALLY EXPLICIT IMAGES,PAGES 104 & 136 SEXUALLY EXPLICIT IMAGE,,2020,6,26,tx
WICKED WOMEN,"GUERRERO, ALEJANDRA",2022-05-16,PGS 10 15 17 18 & 24 SEXUALLY EXPLICIT IMAGES,"PAGES 10, 15, 17, 18 & 24 CONTAIN SEXUALLY EXPLICIT IMAGES",,2022,5,16,tx
WIFE IN SHORT SHORTS,AKINAO,2018-11-08,PAGES 4-6 SEXUALLY EXPLICIT IMAGES,"PGS 4, 5 & 6 SEXUALLY EXPLICIT IMAGES",,2018,11,8,tx
