clean_title,clean_author,subjects,source
A Good Woman,Danielle Steel,"['Rich people', 'World War, 1914-1918', 'Married women', 'Married women in fiction', 'Open Library Staff Picks', 'Rich people in fiction', 'Fiction', 'Military nursing in fiction', 'Military nursing', 'Americans', 'Americans in fiction', 'Upper class women', 'Upper class women in fiction', 'World War, 1914-1918 in fiction', 'Women', 'Rich', 'Fate and fatalism', 'Historical fiction', 'Wives', 'Love stories', 'Upper class', 'Fiction, romance, general', 'Married people, fiction', 'World war, 1914-1918, fiction', 'France, fiction', 'New york (n.y.), fiction', 'American Romance fiction', 'American Fantasy fiction', 'American Short stories', 'nyt:hardcover-fiction=2008-11-16', 'New York Times bestseller', 'Gente adinerada', 'Estadounidenses', 'Mujeres casadas', 'Enfermería', 'Ficción', 'Guerra Mundial I, 1914-1918', 'Clase alta', 'Femmes de la classe supérieure', 'Romans, nouvelles', 'Américains', 'Soins infirmiers militaires', 'Guerre mondiale, 1914-1918', 'New york (state), fiction', 'Fiction, historical, general', 'Romans en novellen ; vertaald']",openlibrary.org
A Guide To Improvised Weaponry,Terry Schappert,"['Self-defense', 'Handbooks, manuals', 'SPORTS & RECREATION / Martial Arts & Self-Defense', 'SPORTS & RECREATION / Extreme Sports']",openlibrary.org
A Guide To Physical Examination And History Taking,Barbara Bates,"['Textbooks', 'Physics textbooks', 'Medical examinations', 'Science textbooks', 'Medical history taking', 'Physical diagnosis', 'Physical Examination', 'Children']",openlibrary.org
A History Of Cannibalism,Nathan Constantine,['Cannibalism'],openlibrary.org
"A History Of Magic, Witchcraft & The Occult",Suzannah Lipscomb,[],openlibrary.org
A History Of Photography From 1839 To The Present,Taschen,[],openlibrary.org
A History Of Western Art,Laurie Adams,"['Art', 'History']",openlibrary.org
A History Of Witchcraft,Susan Greenwood,"['Magic, history', 'Witchcraft', 'Magic', 'History']",openlibrary.org
A History Of World In 6 Glasses,Tom Standage,"['History', 'Coffee', 'Cola drinks', 'Tea', 'Beverages', 'Drinking of alcoholic beverages', 'Weltgeschichte']",openlibrary.org
A Hood Nigga'S Blues,Tranay Adams,[],openlibrary.org
A Hunger In Her Flesh,Z.L. Darryl,[],openlibrary.org
A Hustla'S Dream 2,Koya,[],openlibrary.org
A Hustler By Nature,Cornell Garvin,[],openlibrary.org
A Hustler'S Deceit 3: Hell Hath No Fury,Aryanna,[],openlibrary.org
A Hustler'S Promise 1 Some Promises Won'T Be Broke,Jackie Chanel,[],openlibrary.org
A Hustler'S Son,T. Styles,[],openlibrary.org
A Hustler'S Son Ii,T. Styles,[],openlibrary.org
A Hustler'S Worst Nightmare,Derrick King,[],openlibrary.org
A Hustler'Z Love,Destiny Henry,"['Street life', 'Fiction']",openlibrary.org
A Journey Through Time,Willem De Thouars,[],openlibrary.org
A Killer'Z Ambition 3 Wrath Of Carmelo,Nathan Welch,[],openlibrary.org
A King Of Infinite Space,Allen Steele,"['Fiction', 'Immortalism', 'Fiction, science fiction, general']",openlibrary.org
A Life Beyond Abuse,Jerhonda Pace,[],openlibrary.org
A Lifetime Of Secrets,Frank Warren,[],openlibrary.org
A Lifetime Of Sex,Stephen George,"['Man-woman relationships', 'Sex customs', 'Sex instruction for men', 'Sexual Hygiene', 'Sexual health']",openlibrary.org
A Little Bad Bad Bad,K Webster,[],openlibrary.org
